timestamp,open,high,low,close,volume
2015-01-02,2116.3060102619106,2142.541208736232,2116.3060102619106,2133.796142578125,23401400
2015-01-05,2125.0514143947744,2125.0514143947744,2098.8162117479255,2107.561279296875,27649600
2015-01-06,2098.8162117479255,2116.306346845825,2081.326076650026,2107.561279296875,47602800
2015-01-07,2098.8160686728397,2133.7963364840534,2090.0710017200363,2125.05126953125,38775600
2015-01-08,2133.7963364840534,2142.5414034368573,2107.561135625643,2125.05126953125,33511200
2015-01-09,2125.051659560785,2186.267139465828,2125.051659560785,2151.286865234375,59709000
2015-01-12,2133.7963364840534,2177.521671248071,2125.05126953125,2125.05126953125,39099600
2015-01-13,2125.051659560785,2160.0319337922383,2125.051659560785,2151.286865234375,32302800
2015-01-14,2151.286274894339,2168.7764072105533,2133.796142578125,2133.796142578125,34135800
2015-01-15,2151.286865234375,2168.7770023501016,2125.051659560785,2151.286865234375,40961600
2015-01-16,2125.051561682793,2142.541697992939,2081.3262209074264,2090.0712890625,56018800
2015-01-19,2107.561425372646,2116.3064935277193,2081.3262209074264,2090.0712890625,27434800
2015-01-20,2090.071634583554,2090.071634583554,2002.620938575874,2063.83642578125,83038800
2015-01-21,2072.5811527523533,2098.816357217573,2055.091016442207,2090.0712890625,44688400
2015-01-22,2098.816553965336,2116.3066919150474,2081.326416015625,2081.326416015625,84164000
2015-01-23,2107.5609441038036,2160.031341052446,2107.5609441038036,2133.796142578125,80012600
2015-01-26,2090.0708117875897,2151.286274894339,2090.0708117875897,2133.796142578125,52595800
2015-01-27,2142.541892759262,2195.0123064594886,2133.796823809224,2168.777099609375,77835000
2015-01-28,2186.267188686108,2203.757326195597,2160.031982421875,2160.031982421875,45513200
2015-01-29,2160.0319337922383,2177.522070907965,2151.286865234375,2151.286865234375,28126800
2015-01-30,2177.5222646484376,2195.0124033203124,2160.0321259765624,2186.267333984375,76591400
2015-02-02,2168.7771953124998,2195.0124033203124,2160.0321259765624,2186.267333984375,30717600
2015-02-03,2203.757322318823,2256.2277347549852,2195.0122535794626,2247.482666015625,65318400
2015-02-04,2273.7177734375,2387.4036621093746,2256.22763671875,2273.7177734375,86321600
2015-02-05,2308.6979469476746,2334.9331508902615,2229.9923351199127,2256.2275390625,52550200
2015-02-06,2299.9528342257727,2369.913376711728,2291.2077664150283,2334.93310546875,65447800
2015-02-09,2369.9132848011363,2474.8540944602273,2352.4231498579543,2404.8935546875,64859600
2015-02-10,2422.384034998277,2448.6192411534926,2378.65869140625,2378.65869140625,40042800
2015-02-11,2361.1686530698184,2387.40386032615,2352.423583984375,2352.423583984375,34928000
2015-02-12,2369.9137221552623,2369.9137221552623,2326.1883767280437,2352.423583984375,21447000
2015-02-13,2369.913376711728,2378.658444522472,2326.1880376580057,2334.93310546875,29701000
2015-02-16,2352.4232410902387,2361.168308900983,2326.1880376580057,2334.93310546875,23542000
2015-02-17,2326.188232421875,2343.678369507754,2326.188232421875,2326.188232421875,12337600
2015-02-18,2378.658641870471,2422.3839845519133,2361.168504797894,2413.638916015625,84983600
2015-02-20,2439.8741216244903,2474.8543957696443,2413.638916015625,2413.638916015625,32341600
2015-02-23,2448.6192393388988,2448.6192393388988,2387.4037583554264,2422.384033203125,27499400
2015-02-24,2439.873779296875,2448.6188466061826,2413.6385773689517,2439.873779296875,34350000
2015-02-25,2448.6188466061826,2448.6188466061826,2422.3836446782593,2439.873779296875,29545200
2015-02-26,2422.384033203125,2439.8741706269743,2396.1488270673512,2422.384033203125,28528200
2015-02-27,2439.8738245738637,2439.8738245738637,2404.8935546875,2404.8935546875,37951000
2015-03-02,2422.3836393704382,2431.128706660584,2387.403370209854,2396.1484375,49290400
2015-03-03,2387.4035123332164,2404.893647954705,2326.1880376580057,2334.93310546875,69853800
2015-03-04,2334.9333009648144,2361.1685065936326,2291.2079582501174,2326.188232421875,58756000
2015-03-05,2334.93310546875,2352.4232410902387,2326.1880376580057,2334.93310546875,50280000
2015-03-06,2352.4231948007955,2378.6583977167898,2343.6781271621307,2369.913330078125,76903800
2015-03-09,2361.168112683652,2369.9131797676655,2334.9329114316115,2343.677978515625,60375200
2015-03-10,2343.6783203124996,2396.14873046875,2334.933251953125,2361.16845703125,79518600
2015-03-11,2361.168112683652,2369.9131797676655,2334.9329114316115,2343.677978515625,72916800
2015-03-12,2352.423583984375,2387.40386032615,2334.933445813487,2352.423583984375,51661400
2015-03-13,2369.9135253906247,2369.9135253906247,2343.6783203124996,2361.16845703125,40006000
2015-03-16,2352.4234835077277,2422.384033203125,2334.9333460838784,2422.384033203125,61621800
2015-03-17,2422.3839845519133,2439.8741216244903,2396.148778943048,2413.638916015625,41834400
2015-03-18,2422.3838382419062,2439.8739742580933,2396.148634217626,2431.12890625,38261000
2015-03-19,2439.874072265625,2483.5994140625,2431.1290039062496,2448.619140625,76247600
2015-03-20,2448.619042266187,2448.619042266187,2422.3838382419062,2431.12890625,38954800
2015-03-23,2448.619140625,2457.3642089843747,2422.383935546875,2448.619140625,28081600
2015-03-24,2431.128956109705,2483.599365234375,2431.128956109705,2483.599365234375,45707600
2015-03-25,2508.433541805186,2553.067590591755,2490.5799222905584,2517.3603515625,41488400
2015-03-26,2517.360490825814,2553.0677318304356,2499.5068703235033,2535.214111328125,45867600
2015-03-27,2526.2873010769695,2544.14092157928,2508.433680574659,2535.214111328125,25620000
2015-03-30,2553.0674473353793,2570.9210658482143,2499.506591796875,2499.506591796875,44751800
2015-03-31,2553.067230752595,2579.84765625,2544.14042225346,2579.84765625,59752400
2015-04-01,2588.774658203125,2588.774658203125,2535.2138032058187,2588.774658203125,54129600
2015-04-02,2570.92138671875,2588.7750074598525,2544.140955607096,2570.92138671875,34532000
2015-04-06,2588.7748138746733,2588.7748138746733,2553.067575062609,2561.994384765625,29098600
2015-04-07,2588.7748503275343,2597.70166015625,2570.9212306701033,2597.70166015625,40029200
2015-04-08,2579.84765625,2597.70127324827,2561.99403925173,2579.84765625,28646800
2015-04-09,2588.7748138746733,2588.7748138746733,2553.067575062609,2561.994384765625,18791200
2015-04-10,2553.067679207785,2570.921299342105,2535.214059073465,2544.140869140625,27541400
2015-04-13,2570.92138671875,2570.92138671875,2508.4337141248916,2570.92138671875,31733600
2015-04-14,2561.994542081591,2561.994542081591,2526.2873010769695,2535.214111328125,21955400
2015-04-15,2526.2873010769695,2535.214111328125,2499.5068703235033,2535.214111328125,30898400
2015-04-16,2535.21424961757,2561.99468183184,2526.28743887948,2553.06787109375,36702200
2015-04-17,2535.2139710771276,2553.067590591755,2517.3603515625,2517.3603515625,24982200
2015-04-20,2526.287145953561,2561.994384765625,2517.3603362505446,2561.994384765625,18803600
2015-04-21,2535.2139556565767,2570.9211944686413,2535.2139556565767,2561.994384765625,50267000
2015-04-22,2579.8481625839017,2579.8481625839017,2535.214111328125,2535.214111328125,27232600
2015-04-23,2553.067679207785,2561.994489274945,2535.214059073465,2544.140869140625,36581400
2015-04-24,2544.140743557498,2544.140743557498,2481.653076171875,2481.653076171875,70098400
2015-04-27,2463.799928635817,2463.799928635817,2312.044135929988,2320.970947265625,144743400
2015-04-28,2356.677631578947,2374.53125,2294.189967105263,2374.53125,58757400
2015-04-29,2392.384881615182,2392.384881615182,2231.7023149395354,2329.897216796875,112771600
2015-04-30,2320.970615728356,2347.751045909837,2276.336565425888,2294.190185546875,129670400
